Mandatory Clauses,4 - Context of the organization,Clause-4.1,Has the organization identified relevant internal and external issues that has the potential to affect its ISMS achieving its intended outcomes?
Mandatory Clauses,4 - Context of the organization,Clause-4.2,"Has the organization identified the interested parties relevant to the ISMS, their applicable requirements, and determined which of those requirements will be addressed by the system?"
Mandatory Clauses,4 - Context of the organization,Clause-4.3,"Has the organization defined the scope and applicability of its information security management system, taking into account internal and external issues, relevant requirements of interested parties, and interfaces or dependencies with external organizations and documented this scope?"
Mandatory Clauses,4 - Context of the organization,Clause-4.4,"Has the organization established, implemented, maintained, and continually improved an information security management system—along with the necessary processes and their interactions—in accordance with the applicable requirements?"
Mandatory Clauses,5 - Leadership,Clause-5.1,"Has top management demonstrated leadership and commitment to the information security management system by ensuring alignment with strategic direction, integrating ISMS requirements into business processes, allocating necessary resources, promoting awareness and continual improvement, and supporting roles and responsibilities throughout the organization?"
Mandatory Clauses,5 - Leadership,Clause-5.2,"Has top management established an information security policy that is appropriate to the organization’s purpose, supports the setting of information security objectives, includes commitments to applicable requirements and continual improvement—and is documented, communicated internally, and made available to relevant interested parties?"
Mandatory Clauses,5 - Leadership,Clause-5.3,"Has top management assigned and communicated responsibilities and authorities for roles relevant to information security, including ensuring ISMS conformance and reporting its performance?"
Mandatory Clauses,6 - Planning,Clause-6.1.1,"Has the organization identified risks and opportunities related to internal/external issues and interested parties' requirements, and planned actions to address them—ensuring integration into ISMS processes and evaluation of their effectiveness?"
Mandatory Clauses,6 - Planning,Clause-6.1.2,"Has the organization defined and applied an information security risk assessment process that includes criteria for risk acceptance and assessment, ensures consistent and comparable results, identifies risks and risk owners, analyzes consequences and likelihood, determines risk levels, evaluates risks against criteria, prioritizes them for treatment, and is documented?"
Mandatory Clauses,6 - Planning,Clause-6.1.3,"Has the organization defined and applied an information security risk treatment process that includes selecting treatment options based on risk assessment results, identifying necessary controls, verifying against Annex A, producing a Statement of Applicability with justifications, formulating a risk treatment plan, obtaining risk owners’ approval and acceptance of residual risks—and documenting the entire process?"
Mandatory Clauses,6 - Planning,Clause-6.2,"Has the organization established information security objectives at relevant levels that are consistent with the information security policy, measurable (where practicable), based on applicable requirements and risk results, and are monitored, communicated, updated when needed, and documented—along with clear plans detailing actions, responsibilities, timelines, required resources, and evaluation methods?"
Mandatory Clauses,7 - Support,Clause-7.1,"Has the organization determined and provided the resources needed to establish, implement, maintain, and continually improve the information security management system?"
Mandatory Clauses,7 - Support,Clause-7.2,"Has the organization determined the necessary competence for individuals affecting information security performance, ensured they are competent through education, training, or experience, taken action where needed to address gaps, evaluated the effectiveness of those actions, and retained documented evidence of competence?"
Mandatory Clauses,7 - Support,Clause-7.3,"Are individuals working under the organization’s control aware of the information security policy, their role in contributing to ISMS effectiveness and improved performance, and the implications of not conforming to ISMS requirements?"
Mandatory Clauses,7 - Support,Clause-7.4,"Has the organization determined the need for internal and external communications relevant to the ISMS, including what, when, with whom, and how to communicate?"
Mandatory Clauses,7 - Support,Clause-7.5.1,Does the organization’s ISMS include both the documented information required by the standard and any additional documentation deemed necessary for its effectiveness?
Mandatory Clauses,7 - Support,Clause-7.5.2,"When creating or updating documented information, does the organization ensure proper identification and description, appropriate format and media, and that the information is reviewed and approved for suitability and adequacy?"
Mandatory Clauses,7 - Support,Clause-7.5.3,"Is documented information required by the ISMS and the standard properly controlled to ensure it is available when needed, adequately protected, and managed in terms of distribution, access, storage, version control, retention, and disposal—including any necessary external documentation?"
